general-projectname,general-readlength,general-runname,general-samplename,subsample-rawreads,subsample-subsampledreads,fastqc-meanreadqualityR1,fastqc-pct-adapter,fastqc-pct-deduplicated,fastqc-pct-dimer,fastqc-pct-gc,fastqc-sequencelength,fastqc-totalsequences,fastqspeciesscreen-pct-Adapters,fastqspeciesscreen-pct-Chloroplast,fastqspeciesscreen-pct-Mitochondria,fastqspeciesscreen-pct-NoHit,fastqspeciesscreen-pct-PhiX,fastqspeciesscreen-pct-Vectors,fastqspeciesscreen-pct-ecoli,fastqspeciesscreen-pct-human,fastqspeciesscreen-pct-mouse,fastqspeciesscreen-pct-rRNA
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,183.L001,2829924,2829924,31.9,3.32,64.17,0.01,56,101,2000000,0.00,0.00,0.00,96.97,0.00,0.00,0.00,0.53,0.21,2.29
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,184.L001,2107661,2107661,31.9,3.14,64.14,0.00,55,101,2000000,0.00,0.00,0.00,97.08,0.00,0.00,0.00,0.52,0.12,2.28
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,185.L001,2500541,2500541,31.9,3.49,63.37,0.01,56,101,2000000,0.00,0.00,0.00,97.28,0.00,0.00,0.00,0.44,0.11,2.17
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,186.L001,2884575,2884575,31.8,7.24,62.14,0.20,58,101,2000000,0.00,0.00,0.00,92.06,0.01,0.00,0.42,0.14,0.40,6.97
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,187.L001,140161,140161,29.8,3.44,60.26,1.91,63,101,140161,0.00,0.00,0.00,84.19,0.00,0.02,0.40,1.36,11.14,2.89
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,188.L001,1904604,1904604,31.8,2.68,28.93,0.21,55,101,1904604,0.00,0.00,0.00,94.18,0.00,0.00,3.26,0.06,0.54,1.96
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,189.L001,2821040,2821040,31.9,8.93,29.26,0.04,61,101,2000000,0.00,0.00,0.00,90.78,0.00,0.01,0.42,0.01,0.07,8.71
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,190.L001,2609991,2609991,31.9,5.18,44.10,0.07,58,101,2000000,0.00,0.00,0.00,95.23,0.00,0.00,0.05,0.26,0.10,4.36
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,191.L001,2522207,2522207,31.7,6.27,63.66,0.35,59,101,2000000,0.00,0.00,0.00,92.81,0.00,0.00,0.00,0.25,0.89,6.05
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,192.L001,2127564,2127564,31.7,6.29,63.13,0.48,59,101,2000000,0.00,0.00,0.00,92.27,0.00,0.00,0.00,0.25,1.12,6.36
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,193.L001,2208139,2208139,31.7,7.57,57.77,0.51,61,101,2000000,0.00,0.00,0.00,91.06,0.00,0.00,0.00,0.27,0.93,7.74
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,194.L001,591156,591156,31.8,5.11,77.16,0.21,60,101,591156,0.00,0.00,0.00,94.30,0.00,0.00,0.00,0.30,0.78,4.62
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,195.L001,509094,509094,31.9,2.85,80.11,0.14,58,101,509094,0.00,0.00,0.00,96.39,0.00,0.00,0.00,0.87,0.25,2.49
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,196.L001,838350,838350,32.0,2.94,77.41,0.06,58,101,838350,0.00,0.00,0.00,96.63,0.00,0.00,0.00,0.63,0.24,2.50
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,197.L001,336950,336950,31.7,3.93,82.72,0.17,59,101,336950,0.00,0.00,0.00,94.72,0.00,0.00,0.01,0.35,0.83,4.09
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,198.L001,1567372,1567372,32.0,2.64,69.74,0.03,57,101,1567372,0.00,0.00,0.00,97.11,0.00,0.00,0.00,0.45,0.19,2.25
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,199.L001,2481945,2481945,31.9,3.50,63.40,0.05,58,101,2000000,0.00,0.00,0.00,96.54,0.00,0.00,0.00,0.20,0.51,2.75
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,200.L001,2188477,2188477,31.9,3.75,59.32,0.06,60,101,2000000,0.00,0.00,0.00,95.78,0.00,0.00,0.00,0.21,0.65,3.36
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,201.L001,391852,391852,31.9,4.23,81.50,0.19,59,101,391852,0.00,0.00,0.00,95.06,0.00,0.00,0.00,0.30,0.91,3.73
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,202.L001,3288143,3288143,31.9,8.18,61.55,0.17,59,101,2000000,0.00,0.00,0.00,91.08,0.00,0.00,0.00,0.51,0.11,8.30
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,203.L001,3606740,3606740,31.9,7.79,60.33,0.27,59,101,2000000,0.00,0.00,0.00,90.99,0.00,0.00,0.00,0.52,0.25,8.24
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,205.L001,2024268,2024268,31.8,1.71,65.98,0.41,54,101,2000000,0.00,0.00,0.00,95.76,0.00,0.00,0.02,0.36,1.55,2.31
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,206.L001,1665539,1665539,31.9,3.39,69.80,0.04,56,101,1665539,0.00,0.00,0.00,96.36,0.00,0.00,0.01,0.20,0.56,2.87
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,207.L001,2019222,2019222,31.8,2.08,65.81,0.46,54,101,2000000,0.00,0.00,0.00,95.07,0.00,0.00,0.00,0.28,1.64,3.01
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,208.L001,2486262,2486262,31.7,3.54,68.02,0.29,55,101,2000000,0.00,0.00,0.00,94.89,0.00,0.00,0.00,0.29,0.91,3.91
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,209.L001,2290328,2290328,31.9,4.83,64.94,0.13,56,101,2000000,0.00,0.00,0.00,94.76,0.00,0.00,0.00,0.08,0.55,4.61
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,210.L001,1932054,1932054,31.8,1.55,65.54,0.48,53,101,1932054,0.00,0.00,0.00,95.98,0.00,0.00,0.00,0.39,1.30,2.33
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,211.L001,1763329,1763329,31.7,3.91,69.89,0.08,55,101,1763329,0.00,0.00,0.00,95.42,0.01,0.00,0.00,0.23,0.69,3.65
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,212.L001,2578355,2578355,31.8,3.50,67.12,0.11,55,101,2000000,0.00,0.00,0.00,96.02,0.00,0.00,0.00,0.13,0.72,3.13
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,213.L001,1931628,1931628,31.8,3.16,68.28,0.15,55,101,1931628,0.00,0.00,0.00,96.02,0.00,0.01,0.00,0.29,0.80,2.88
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,214.L001,1871676,1871676,31.5,1.82,68.47,0.25,54,101,1871676,0.00,0.00,0.00,95.27,0.00,0.00,0.00,0.38,1.51,2.84
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,215.L001,858707,858707,31.9,2.14,81.24,0.01,55,101,858707,0.00,0.00,0.00,97.62,0.00,0.00,0.00,0.51,0.17,1.70
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,216.L001,2236397,2236397,31.7,3.74,67.28,0.08,55,101,2000000,0.00,0.00,0.00,95.41,0.00,0.00,0.00,0.56,0.16,3.87
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,217.L001,1562347,1562347,31.8,3.34,70.35,0.15,55,101,1562347,0.00,0.00,0.00,96.04,0.00,0.00,0.00,0.24,0.81,2.91
Reddy2_Project_002,101,230411_VH00601_152_AACLJHTM5,218.L001,1340149,1340149,31.9,3.10,73.77,0.05,55,101,1340149,0.00,0.00,0.00,96.64,0.00,0.00,0.00,0.58,0.22,2.56
